등급,과목,구분 점수,인원(명),비율(%)
9,세계사,35미만,669 ,3.37 
1,법과 정치,65,"1,858 ",6.87 
2,법과 정치,63,"1,497 ",5.53 
3,법과 정치,60,"3,528 ",13.04 
4,법과 정치,54,"4,496 ",16.62 
5,법과 정치,46,"5,448 ",20.14 
6,법과 정치,40,"5,080 ",18.78 
7,법과 정치,37,"2,667 ",9.86 
8,법과 정치,34,"2,024 ",7.48 
9,법과 정치,34미만,454 ,1.68 
1,경제,68,264 ,4.66 
2,경제,64,483 ,8.53 
3,경제,59,702 ,12.40 
4,경제,53,823 ,14.54 
5,경제,45,"1,165 ",20.58 
6,경제,40,"1,471 ",25.98 
7,경제,39,182 ,3.21 
8,경제,36,355 ,6.27 
9,경제,36미만,216 ,3.82 
1,사회·문화,64,"9,848 ",7.08 
2,사회·문화,62,"9,433 ",6.78 
3,사회·문화,59,"17,372 ",12.48 
4,사회·문화,55,"19,219 ",13.81 
5,사회·문화,47,"27,830 ",20.00 
6,사회·문화,40,"23,864 ",17.15 
7,사회·문화,36,"20,539 ",14.76 
8,사회·문화,34,"6,586 ",4.73 
9,사회·문화,34미만,"4,453 ",3.20 
1,물리 Ⅰ,64,"3,956 ",7.22 
2,물리 Ⅰ,62,"2,276 ",4.15 
3,물리 Ⅰ,59,"6,874 ",12.55 
4,물리 Ⅰ,55,"9,282 ",16.94 
5,물리 Ⅰ,48,"11,548 ",21.08 
6,물리 Ⅰ,40,"10,325 ",18.84 
7,물리 Ⅰ,36,"5,090 ",9.29 
8,물리 Ⅰ,32,"4,291 ",7.83 
9,물리 Ⅰ,32미만,"1,150 ",2.10 
1,화학 Ⅰ,64,"3,172 ",4.31 
2,화학 Ⅰ,61,"5,870 ",7.97 
3,화학 Ⅰ,58,"11,035 ",14.98 
4,화학 Ⅰ,55,"10,502 ",14.26 
5,화학 Ⅰ,49,"14,943 ",20.29 
6,화학 Ⅰ,41,"11,882 ",16.13 
7,화학 Ⅰ,35,"8,729 ",11.85 
8,화학 Ⅰ,31,"4,928 ",6.69 
9,화학 Ⅰ,31미만,"2,602 ",3.53 
1,생명 과학 Ⅰ,66,"5,709 ",4.46 
2,생명 과학 Ⅰ,63,"10,371 ",8.10 
3,생명 과학 Ⅰ,59,"18,907 ",14.77 
4,생명 과학 Ⅰ,54,"18,325 ",14.31 
5,생명 과학 Ⅰ,47,"23,711 ",18.52 
6,생명 과학 Ⅰ,40,"27,793 ",21.71 
7,생명 과학 Ⅰ,37,"9,649 ",7.54 
8,생명 과학 Ⅰ,34,"9,038 ",7.06 
9,생명 과학 Ⅰ,34미만,"4,530 ",3.54 
1,지구 과학 Ⅰ,67,"8,146 ",5.48 
2,지구 과학 Ⅰ,63,"10,673 ",7.19 
3,지구 과학 Ⅰ,59,"16,233 ",10.93 
4,지구 과학 Ⅰ,53,"25,087 ",16.89 
5,지구 과학 Ⅰ,47,"30,409 ",20.47 
6,지구 과학 Ⅰ,41,"27,256 ",18.35 
7,지구 과학 Ⅰ,37,"16,200 ",10.91 
8,지구 과학 Ⅰ,34,"9,776 ",6.58 
9,지구 과학 Ⅰ,34미만,"4,760 ",3.20 
1,물리 Ⅱ,68,128 ,4.67
2,물리 Ⅱ,64,208 ,7.60
3,물리 Ⅱ,60,306 ,11.18
4,물리 Ⅱ,53,489 ,17.86
5,물리 Ⅱ,45,572 ,20.89
6,물리 Ⅱ,41,433 ,15.81
7,물리 Ⅱ,38,421 ,15.38
8,물리 Ⅱ,36,87 ,3.18
9,물리 Ⅱ,36미만,94 ,3.43
1,화학 Ⅱ,67,123 ,4.19
2,화학 Ⅱ,63,330 ,11.25
3,화학 Ⅱ,59,320 ,10.91
4,화학 Ⅱ,54,405 ,13.80
5,화학 Ⅱ,46,589 ,20.07
6,화학 Ⅱ,40,602 ,20.52
7,화학 Ⅱ,37,360 ,12.27
8,화학 Ⅱ,35,131 ,4.46
9,화학 Ⅱ,35미만,74 ,2.52
1,생명 과학 Ⅱ,64,444 ,6.18 
2,생명 과학 Ⅱ,62,722 ,10.04 
3,생명 과학 Ⅱ,59,894 ,12.43 
4,생명 과학 Ⅱ,55,926 ,12.88 
5,생명 과학 Ⅱ,45,"1,482 ",20.61 
6,생명 과학 Ⅱ,40,"1,189 ",16.54 
7,생명 과학 Ⅱ,37,792 ,11.02 
8,생명 과학 Ⅱ,35,524 ,7.29 
9,생명 과학 Ⅱ,35미만,217 ,3.02 
1,지구 과학 Ⅱ,65,310 ,4.66
2,지구 과학 Ⅱ,62,822 ,12.35
3,지구 과학 Ⅱ,60,529 ,7.95
4,지구 과학 Ⅱ,54,"1,210 ",18.18
5,지구 과학 Ⅱ,46,"1,298 ",19.50
6,지구 과학 Ⅱ,40,"1,156 ",17.37
7,지구 과학 Ⅱ,37,642 ,9.65
8,지구 과학 Ⅱ,35,470 ,7.06
9,지구 과학 Ⅱ,35미만,219 ,3.29
1,농업 이해,66,16 ,5.52 
2,농업 이해,62,16 ,5.52 
3,농업 이해,58,45 ,15.52 
4,농업 이해,53,45 ,15.52 
5,농업 이해,48,59 ,20.34 
6,농업 이해,42,47 ,16.21 
7,농업 이해,37,33 ,11.38 
8,농업 이해,31,18 ,6.21 
9,농업 이해,31미만,11 ,3.79 
1,농업 기초 기술,66,10 ,4.13 
2,농업 기초 기술,63,18 ,7.44 
3,농업 기초 기술,59,32 ,13.22 
4,농업 기초 기술,54,37 ,15.29 
5,농업 기초 기술,47,51 ,21.07 
6,농업 기초 기술,42,40 ,16.53 
7,농업 기초 기술,37,29 ,11.98 
8,농업 기초 기술,32,17 ,7.02 
9,농업 기초 기술,32미만,8 ,3.31 
1,공업 일반,65,218 ,13.21 
2,공업 일반,ㅡ,ㅡ,ㅡ
3,공업 일반,62,164 ,9.94 
4,공업 일반,51,279 ,16.91 
5,공업 일반,44,362 ,21.94 
6,공업 일반,41,304 ,18.42 
7,공업 일반,39,178 ,10.79 
8,공업 일반,37,109 ,6.61 
9,공업 일반,37미만,36 ,2.18 
1,기초 제도,68,78 ,5.15 
2,기초 제도,65,117 ,7.73 
3,기초 제도,60,162 ,10.70 
4,기초 제도,50,295 ,19.48 
5,기초 제도,45,286 ,18.89 
6,기초 제도,41,307 ,20.28 
7,기초 제도,39,107 ,7.07 
8,기초 제도,37,117 ,7.73 
9,기초 제도,37미만,45 ,2.97 
1,상업 경제,70,78 ,4.16 
2,상업 경제,66,129 ,6.88 
3,상업 경제,58,231 ,12.31 
4,상업 경제,50,353 ,18.82 
5,상업 경제,46,376 ,20.04 
6,상업 경제,42,301 ,16.04 
7,상업 경제,39,260 ,13.86 
8,상업 경제,37,73 ,3.89 
9,상업 경제,37미만,75 ,4.00 
1,회계 원리,72,73 ,4.03 
2,회계 원리,65,150 ,8.28 
3,회계 원리,57,222 ,12.26 
4,회계 원리,50,289 ,15.96 
5,회계 원리,46,355 ,19.60 
6,회계 원리,43,314 ,17.34 
7,회계 원리,39,238 ,13.14 
8,회계 원리,36,119 ,6.57 
9,회계 원리,36미만,51 ,2.82 
1,해양의 이해,76,2 ,5.00 
2,해양의 이해,64,3 ,7.50 
3,해양의 이해,55,5 ,12.50 
4,해양의 이해,51,6 ,15.00 
5,해양의 이해,47,8 ,20.00 
6,해양의 이해,43,7 ,17.50 
7,해양의 이해,40,5 ,12.50 
8,해양의 이해,40미만,4 ,10.00 
9,해양의 이해,ㅡ,ㅡ,ㅡ
1,수산 해운 산업 기초,68,2 ,5.13 
2,수산 해운 산업 기초,61,3 ,7.69 
3,수산 해운 산업 기초,59,4 ,10.26 
4,수산 해운 산업 기초,54,8 ,20.51 
5,수산 해운 산업 기초,48,7 ,17.95 
6,수산 해운 산업 기초,40,9 ,23.08 
7,수산 해운 산업 기초,38,2 ,5.13 
8,수산 해운 산업 기초,31,3 ,7.69 
9,수산 해운 산업 기초,31미만,1 ,2.56 
1,인간 발달,71,46 ,4.56 
2,인간 발달,66,80 ,7.94 
3,인간 발달,58,115 ,11.41 
4,인간 발달,50,185 ,18.35 
5,인간 발달,45,229 ,22.72 
6,인간 발달,42,142 ,14.09 
7,인간 발달,40,121 ,12.00 
8,인간 발달,37,61 ,6.05 
9,인간 발달,37미만,29 ,2.88 
1,생활 서비스 산업의 이해,68,56 ,4.87 
2,생활 서비스 산업의 이해,64,94 ,8.17 
3,생활 서비스 산업의 이해,59,125 ,10.87 
4,생활 서비스 산업의 이해,52,200 ,17.39 
5,생활 서비스 산업의 이해,46,230 ,20.00 
6,생활 서비스 산업의 이해,42,189 ,16.43 
7,생활 서비스 산업의 이해,38,160 ,13.91 
8,생활 서비스 산업의 이해,34,55 ,4.78 
9,생활 서비스 산업의 이해,34미만,41 ,3.57 
1,독일어 Ⅰ,65,92 ,7.72 
2,독일어 Ⅰ,63,56 ,4.70 
3,독일어 Ⅰ,60,155 ,13.00 
4,독일어 Ⅰ,55,176 ,14.77 
5,독일어 Ⅰ,45,248 ,20.81 
6,독일어 Ⅰ,40,232 ,19.46 
7,독일어 Ⅰ,38,129 ,10.82 
8,독일어 Ⅰ,36,61 ,5.12 
9,독일어 Ⅰ,36미만,43 ,3.61 
1,프랑스어 Ⅰ,66,57 ,4.75
2,프랑스어 Ⅰ,63,114 ,9.50
3,프랑스어 Ⅰ,59,163 ,13.58
4,프랑스어 Ⅰ,54,168 ,14.00
5,프랑스어 Ⅰ,45,245 ,20.42
6,프랑스어 Ⅰ,40,231 ,19.25
7,프랑스어 Ⅰ,37,118 ,9.83
8,프랑스어 Ⅰ,35,77 ,6.42
9,프랑스어 Ⅰ,35미만,27 ,2.25
1,스페인어 Ⅰ,65,74 ,5.84 
2,스페인어 Ⅰ,63,114 ,9.00 
3,스페인어 Ⅰ,60,134 ,10.58 
4,스페인어 Ⅰ,54,221 ,17.44 
5,스페인어 Ⅰ,45,251 ,19.81 
6,스페인어 Ⅰ,40,186 ,14.68 
7,스페인어 Ⅰ,37,179 ,14.13 
8,스페인어 Ⅰ,36,58 ,4.58 
9,스페인어 Ⅰ,36미만,50 ,3.95 
1,중국어 Ⅰ,68,189 ,4.86 
2,중국어 Ⅰ,63,291 ,7.48 
3,중국어 Ⅰ,58,503 ,12.92 
4,중국어 Ⅰ,53,644 ,16.55 
5,중국어 Ⅰ,46,715 ,18.37 
6,중국어 Ⅰ,41,672 ,17.27 
7,중국어 Ⅰ,38,552 ,14.18 
8,중국어 Ⅰ,36,180 ,4.62 
9,중국어 Ⅰ,36미만,146 ,3.75 
1,일본어 Ⅰ,65,278 ,4.99
2,일본어 Ⅰ,63,480 ,8.62
3,일본어 Ⅰ,60,637 ,11.44
4,일본어 Ⅰ,55,850 ,15.27
5,일본어 Ⅰ,45,"1,192 ",21.41
6,일본어 Ⅰ,40,"1,071 ",19.24
7,일본어 Ⅰ,37,699 ,12.56
8,일본어 Ⅰ,35,183 ,3.29
9,일본어 Ⅰ,35미만,177 ,3.18
1,러시아어 Ⅰ,67,38 ,6.13 
2,러시아어 Ⅰ,66,36 ,5.81 
3,러시아어 Ⅰ,62,69 ,11.13 
4,러시아어 Ⅰ,48,109 ,17.58 
5,러시아어 Ⅰ,44,137 ,22.10 
6,러시아어 Ⅰ,42,108 ,17.42 
7,러시아어 Ⅰ,40,99 ,15.97 
8,러시아어 Ⅰ,ㅡ,ㅡ,ㅡ
9,러시아어 Ⅰ,40미만,24 ,3.87 
1,아랍어 Ⅰ,80,"1,935 ",4.11 
2,아랍어 Ⅰ,58,"3,309 ",7.03 
3,아랍어 Ⅰ,52,"6,277 ",13.33 
4,아랍어 Ⅰ,48,"10,185 ",21.64 
5,아랍어 Ⅰ,46,"9,811 ",20.84 
6,아랍어 Ⅰ,44,"8,742 ",18.57 
7,아랍어 Ⅰ,43,"2,535 ",5.39 
8,아랍어 Ⅰ,40,"2,983 ",6.34 
9,아랍어 Ⅰ,40미만,"1,297 ",2.76 
1,베트남어 Ⅰ,75,79 ,5.17
2,베트남어 Ⅰ,67,93 ,6.09
3,베트남어 Ⅰ,53,199 ,13.03
4,베트남어 Ⅰ,48,307 ,20.10
5,베트남어 Ⅰ,45,297 ,19.45
6,베트남어 Ⅰ,44,218 ,14.28
7,베트남어 Ⅰ,42,200 ,13.10
8,베트남어 Ⅰ,40,90 ,5.89
9,베트남어 Ⅰ,40미만,44 ,2.88
1,한문 Ⅰ,68,176 ,6.35
2,한문 Ⅰ,64,153 ,5.52
3,한문 Ⅰ,58,323 ,11.65
4,한문 Ⅰ,52,566 ,20.42
5,한문 Ⅰ,47,472 ,17.03
6,한문 Ⅰ,41,600 ,21.65
7,한문 Ⅰ,38,185 ,6.67
8,한문 Ⅰ,34,194 ,7.00
9,한문 Ⅰ,34미만,103 ,3.72
