등급,과목,구분 점수,인원(명),비율(퍼센트)
6,물리학 Ⅰ,41,9093,17.06
7,물리학 Ⅰ,35,8029,15.07
8,물리학 Ⅰ,33,1861,3.49
9,물리학 Ⅰ,33미만,2079,3.9
1,화학 Ⅰ,65,3429,4.77
2,화학 Ⅰ,63,5284,7.36
3,화학 Ⅰ,59,9195,12.8
4,화학 Ⅰ,54,12894,17.95
5,화학 Ⅰ,47,13602,18.94
6,화학 Ⅰ,41,12002,16.71
7,화학 Ⅰ,37,7787,10.84
8,화학 Ⅰ,32,5492,7.65
9,화학 Ⅰ,32미만,2130,2.97
1,생명과학 Ⅰ,67,5246,4.47
2,생명과학 Ⅰ,63,8537,7.27
3,생명과학 Ⅰ,58,15385,13.1
4,생명과학 Ⅰ,53,21445,18.25
5,생명과학 Ⅰ,47,22562,19.2
6,생명과학 Ⅰ,41,19936,16.97
7,생명과학 Ⅰ,37,12478,10.62
8,생명과학 Ⅰ,32,7905,6.73
9,생명과학 Ⅰ,32미만,3993,3.4
1,지구과학 Ⅰ,68,5337,4.57
2,지구과학 Ⅰ,64,8644,7.41
3,지구과학 Ⅰ,58,15444,13.23
4,지구과학 Ⅰ,52,19829,16.99
5,지구과학 Ⅰ,46,22096,18.93
6,지구과학 Ⅰ,41,21102,18.08
7,지구과학 Ⅰ,37,15797,13.53
8,지구과학 Ⅰ,35,4910,4.21
9,지구과학 Ⅰ,35미만,3570,3.06
1,물리학 Ⅱ,62,322,11.52
2,물리학 Ⅱ,ㅡ,ㅡ,ㅡ
3,물리학 Ⅱ,59,540,19.31
4,물리학 Ⅱ,56,293,10.48
5,물리학 Ⅱ,48,577,20.64
6,물리학 Ⅱ,40,432,15.45
7,물리학 Ⅱ,35,427,15.27
8,물리학 Ⅱ,33,125,4.47
9,물리학 Ⅱ,33미만,80,2.86
1,화학 Ⅱ,66,147,4.93
2,화학 Ⅱ,62,286,9.58
3,화학 Ⅱ,59,286,9.58
4,화학 Ⅱ,54,575,19.27
5,화학 Ⅱ,47,515,17.26
6,화학 Ⅱ,40,549,18.4
7,화학 Ⅱ,37,331,11.09
8,화학 Ⅱ,34,227,7.61
9,화학 Ⅱ,34미만,68,2.28
1,생명과학 Ⅱ,67,282,4.28
2,생명과학 Ⅱ,63,596,9.05
3,생명과학 Ⅱ,60,653,9.92
4,생명과학 Ⅱ,54,1173,17.81
5,생명과학 Ⅱ,46,1283,19.48
6,생명과학 Ⅱ,40,1444,21.93
7,생명과학 Ⅱ,37,581,8.82
8,생명과학 Ⅱ,35,359,5.45
9,생명과학 Ⅱ,35미만,214,3.25
1,지구과학 Ⅱ,65,236,5.82
2,지구과학 Ⅱ,62,373,9.2
3,지구과학 Ⅱ,59,408,10.06
4,지구과학 Ⅱ,55,676,16.67
5,지구과학 Ⅱ,46,794,19.58
6,지구과학 Ⅱ,40,661,16.3
7,지구과학 Ⅱ,37,528,13.02
8,지구과학 Ⅱ,35,246,6.07
9,지구과학 Ⅱ,35미만,134,3.3
1,농업 이해,69,18,6.16
2,농업 이해,65,16,5.48
3,농업 이해,58,34,11.64
4,농업 이해,52,49,16.78
5,농업 이해,47,62,21.23
6,농업 이해,42,49,16.78
7,농업 이해,38,36,12.33
8,농업 이해,35,21,7.19
9,농업 이해,35미만,7,2.4
1,농업 기초 기술,69,10,4.26
2,농업 기초 기술,63,18,7.66
3,농업 기초 기술,58,34,14.47
4,농업 기초 기술,52,33,14.04
5,농업 기초 기술,46,52,22.13
6,농업 기초 기술,42,37,15.74
7,농업 기초 기술,37,35,14.89
8,농업 기초 기술,35,7,2.98
9,농업 기초 기술,35미만,9,3.83
1,공업 일반,65,135,10.64
2,공업 일반,63,91,7.17
3,공업 일반,60,88,6.93
4,공업 일반,53,213,16.78
5,공업 일반,46,237,18.68
6,공업 일반,40,281,22.14
7,공업 일반,38,88,6.93
8,공업 일반,35,101,7.96
9,공업 일반,35미만,35,2.76
1,기초 제도,67,55,5.14
2,기초 제도,65,75,7.01
3,기초 제도,60,137,12.8
4,기초 제도,53,174,16.26
5,기초 제도,45,246,22.99
6,기초 제도,41,155,14.49
7,기초 제도,38,113,10.56
8,기초 제도,35,91,8.5
9,기초 제도,35미만,24,2.24
1,상업 경제,69,77,4.74
2,상업 경제,65,130,8
3,상업 경제,59,179,11.02
4,상업 경제,51,292,17.98
5,상업 경제,45,378,23.28
6,상업 경제,42,208,12.81
7,상업 경제,39,212,13.05
8,상업 경제,35,112,6.9
9,상업 경제,35미만,36,2.22
1,회계 원리,69,57,4.03
2,회계 원리,63,112,7.92
3,회계 원리,58,162,11.45
4,회계 원리,52,255,18.02
5,회계 원리,46,304,21.48
6,회계 원리,42,200,14.13
7,회계 원리,37,202,14.28
8,회계 원리,33,87,6.15
9,회계 원리,33미만,36,2.54
1,해양의 이해,68,2,6.9
2,해양의 이해,65,2,6.9
3,해양의 이해,58,3,10.34
4,해양의 이해,52,5,17.24
5,해양의 이해,44,6,20.69
6,해양의 이해,41,6,20.69
7,해양의 이해,41미만,5,17.24
8,해양의 이해,ㅡ,ㅡ,ㅡ
9,해양의 이해,ㅡ,ㅡ,ㅡ
1,수산 해운 산업 기초,67,1,4.55
2,수산 해운 산업 기초,64,3,13.64
3,수산 해운 산업 기초,57,3,13.64
4,수산 해운 산업 기초,51,2,9.09
5,수산 해운 산업 기초,49,5,22.73
6,수산 해운 산업 기초,43,3,13.64
7,수산 해운 산업 기초,38,3,13.64
8,수산 해운 산업 기초,38미만,2,9.09
9,수산 해운 산업 기초,ㅡ,ㅡ,ㅡ
1,인간 발달,70,45,4.52
2,인간 발달,65,103,10.34
3,인간 발달,59,86,8.63
4,인간 발달,50,190,19.08
5,인간 발달,45,200,20.08
6,인간 발달,42,184,18.47
7,인간 발달,39,110,11.04
8,인간 발달,36,39,3.92
9,인간 발달,36미만,39,3.92
1,생활 서비스 산업의 이해,68,55,4.84
2,생활 서비스 산업의 이해,65,77,6.78
3,생활 서비스 산업의 이해,60,133,11.71
4,생활 서비스 산업의 이해,52,207,18.22
5,생활 서비스 산업의 이해,47,213,18.75
6,생활 서비스 산업의 이해,42,237,20.86
7,생활 서비스 산업의 이해,38,92,8.1
8,생활 서비스 산업의 이해,33,85,7.48
9,생활 서비스 산업의 이해,33미만,37,3.26
1,독일어 Ⅰ,65,44,4.41
2,독일어 Ⅰ,63,93,9.32
3,독일어 Ⅰ,60,101,10.12
4,독일어 Ⅰ,54,187,18.74
5,독일어 Ⅰ,45,182,18.24
6,독일어 Ⅰ,40,181,18.14
7,독일어 Ⅰ,38,130,13.03
8,독일어 Ⅰ,36,43,4.31
9,독일어 Ⅰ,36미만,37,3.71
1,프랑스어 Ⅰ,65,83,6.87
2,프랑스어 Ⅰ,63,69,5.71
3,프랑스어 Ⅰ,60,153,12.66
4,프랑스어 Ⅰ,54,200,16.54
5,프랑스어 Ⅰ,45,255,21.09
6,프랑스어 Ⅰ,40,209,17.29
7,프랑스어 Ⅰ,38,131,10.84
8,프랑스어 Ⅰ,36,62,5.13
9,프랑스어 Ⅰ,36미만,47,3.89
1,스페인어 Ⅰ,67,68,5.38
2,스페인어 Ⅰ,64,130,10.28
3,스페인어 Ⅰ,61,93,7.35
4,스페인어 Ⅰ,53,225,17.79
5,스페인어 Ⅰ,45,248,19.6
6,스페인어 Ⅰ,41,217,17.15
7,스페인어 Ⅰ,39,149,11.78
8,스페인어 Ⅰ,37,101,7.98
9,스페인어 Ⅰ,37미만,34,2.69
1,중국어 Ⅰ,66,210,5.66
2,중국어 Ⅰ,63,327,8.82
3,중국어 Ⅰ,60,409,11.03
4,중국어 Ⅰ,54,646,17.43
5,중국어 Ⅰ,45,703,18.96
6,중국어 Ⅰ,40,617,16.64
7,중국어 Ⅰ,38,393,10.6
8,중국어 Ⅰ,35,351,9.47
9,중국어 Ⅰ,35미만,51,1.38
1,일본어 Ⅰ,66,313,5.56
2,일본어 Ⅰ,63,554,9.85
3,일본어 Ⅰ,60,595,10.58
4,일본어 Ⅰ,54,826,14.68
5,일본어 Ⅰ,45,1099,19.53
6,일본어 Ⅰ,40,1147,20.39
7,일본어 Ⅰ,38,583,10.36
8,일본어 Ⅰ,36,375,6.67
9,일본어 Ⅰ,36미만,134,2.38
1,러시아어 Ⅰ,67,20,4.05
2,러시아어 Ⅰ,64,39,7.89
3,러시아어 Ⅰ,61,68,13.77
4,러시아어 Ⅰ,52,75,15.18
5,러시아어 Ⅰ,43,110,22.27
6,러시아어 Ⅰ,41,79,15.99
7,러시아어 Ⅰ,40,57,11.54
8,러시아어 Ⅰ,38,37,7.49
9,러시아어 Ⅰ,38미만,9,1.82
1,아랍어 Ⅰ,81,1544,4.05
2,아랍어 Ⅰ,59,2825,7.4
3,아랍어 Ⅰ,52,5531,14.5
4,아랍어 Ⅰ,48,6954,18.22
5,아랍어 Ⅰ,46,6572,17.22
6,아랍어 Ⅰ,44,6284,16.47
7,아랍어 Ⅰ,42,5163,13.53
8,아랍어 Ⅰ,40,2176,5.7
9,아랍어 Ⅰ,40미만,1108,2.9
1,베트남어 Ⅰ,73,52,6.81
2,베트남어 Ⅰ,69,41,5.37
3,베트남어 Ⅰ,53,91,11.91
4,베트남어 Ⅰ,47,195,25.52
5,베트남어 Ⅰ,45,108,14.14
6,베트남어 Ⅰ,43,173,22.64
7,베트남어 Ⅰ,42,32,4.19
8,베트남어 Ⅰ,40,57,7.46
9,베트남어 Ⅰ,40미만,15,1.96
1,한문 Ⅰ,68,127,4.83
2,한문 Ⅰ,66,173,6.58
3,한문 Ⅰ,59,308,11.71
4,한문 Ⅰ,52,447,16.99
5,한문 Ⅰ,45,638,24.25
6,한문 Ⅰ,41,445,16.91
7,한문 Ⅰ,38,239,9.08
8,한문 Ⅰ,36,187,7.11
9,한문 Ⅰ,36미만,67,2.55
