등급,과목,구분 점수,인원(명),비율(퍼센트)
6,동아시아사,40,3335,16.34
7,동아시아사,37,3023,14.81
8,동아시아사,34,1201,5.88
9,동아시아사,34미만,376,1.84
1,세계사,66,1144,6.95
2,세계사,64,1084,6.59
3,세계사,60,1789,10.87
4,세계사,53,2645,16.07
5,세계사,45,3279,19.92
6,세계사,40,3866,23.49
7,세계사,38,1393,8.46
8,세계사,36,967,5.88
9,세계사,36미만,290,1.76
1,경제,68,207,4.2
2,경제,64,392,7.96
3,경제,59,676,13.72
4,경제,52,800,16.24
5,경제,46,890,18.06
6,경제,41,977,19.83
7,경제,38,569,11.55
8,경제,36,226,4.59
9,경제,36미만,190,3.86
1,정치와 법,67,1577,6.14
2,정치와 법,64,1326,5.16
3,정치와 법,59,3053,11.89
4,정치와 법,53,4624,18
5,정치와 법,46,5591,21.77
6,정치와 법,41,4029,15.69
7,정치와 법,37,3085,12.01
8,정치와 법,35,1644,6.4
9,정치와 법,35미만,753,2.93
1,사회·문화,65,7803,6.13
2,사회·문화,62,11292,8.88
3,사회·문화,59,11688,9.19
4,사회·문화,54,23136,18.19
5,사회·문화,47,22892,18
6,사회·문화,40,23071,18.14
7,사회·문화,37,14079,11.07
8,사회·문화,34,9010,7.08
9,사회·문화,34미만,4218,3.32
1,물리학 Ⅰ,67,3751,6.02
2,물리학 Ⅰ,64,3280,5.26
3,물리학 Ⅰ,59,7650,12.28
4,물리학 Ⅰ,53,10842,17.4
5,물리학 Ⅰ,46,12189,19.56
6,물리학 Ⅰ,41,11315,18.16
7,물리학 Ⅰ,38,6728,10.8
8,물리학 Ⅰ,35,5036,8.08
9,물리학 Ⅰ,35미만,1518,2.44
1,화학 Ⅰ,68,2840,4.01
2,화학 Ⅰ,63,5445,7.7
3,화학 Ⅰ,58,9210,13.02
4,화학 Ⅰ,53,11190,15.82
5,화학 Ⅰ,47,13917,19.67
6,화학 Ⅰ,42,12243,17.31
7,화학 Ⅰ,38,8231,11.63
8,화학 Ⅰ,34,5829,8.24
9,화학 Ⅰ,34미만,1840,2.6
1,생명과학 Ⅰ,64,8542,6.06
2,생명과학 Ⅰ,61,10166,7.21
3,생명과학 Ⅰ,58,21984,15.59
4,생명과학 Ⅰ,55,18096,12.84
5,생명과학 Ⅰ,49,26140,18.54
6,생명과학 Ⅰ,41,24649,17.48
7,생명과학 Ⅰ,35,18748,13.3
8,생명과학 Ⅰ,33,7222,5.12
9,생명과학 Ⅰ,33미만,5431,3.85
1,지구과학 Ⅰ,66,9468,6.48
2,지구과학 Ⅰ,63,9830,6.73
3,지구과학 Ⅰ,59,17627,12.07
4,지구과학 Ⅰ,53,21675,14.84
5,지구과학 Ⅰ,46,31345,21.46
6,지구과학 Ⅰ,41,22694,15.54
7,지구과학 Ⅰ,38,18957,12.98
8,지구과학 Ⅰ,34,10209,6.99
9,지구과학 Ⅰ,34미만,4255,2.91
1,물리학 Ⅱ,66,164,6.24
2,물리학 Ⅱ,63,154,5.86
3,물리학 Ⅱ,59,341,12.98
4,물리학 Ⅱ,53,495,18.84
5,물리학 Ⅱ,45,479,18.23
6,물리학 Ⅱ,40,546,20.78
7,물리학 Ⅱ,37,234,8.9
8,물리학 Ⅱ,35,144,5.48
9,물리학 Ⅱ,35미만,71,2.7
1,화학 Ⅱ,66,117,4.12
2,화학 Ⅱ,63,239,8.41
3,화학 Ⅱ,58,420,14.78
4,화학 Ⅱ,54,403,14.19
5,화학 Ⅱ,47,585,20.59
6,화학 Ⅱ,41,427,15.03
7,화학 Ⅱ,37,353,12.43
8,화학 Ⅱ,34,206,7.25
9,화학 Ⅱ,34미만,91,3.2
1,생명과학 Ⅱ,66,200,4.05
2,생명과학 Ⅱ,63,404,8.18
3,생명과학 Ⅱ,59,704,14.25
4,생명과학 Ⅱ,53,892,18.06
5,생명과학 Ⅱ,46,968,19.6
6,생명과학 Ⅱ,40,877,17.76
7,생명과학 Ⅱ,36,510,10.33
8,생명과학 Ⅱ,34,247,5
9,생명과학 Ⅱ,34미만,137,2.77
1,지구과학 Ⅱ,66,119,4.31
2,지구과학 Ⅱ,63,267,9.68
3,지구과학 Ⅱ,60,302,10.95
4,지구과학 Ⅱ,54,478,17.33
5,지구과학 Ⅱ,45,590,21.39
6,지구과학 Ⅱ,40,401,14.54
7,지구과학 Ⅱ,37,333,12.07
8,지구과학 Ⅱ,35,190,6.89
9,지구과학 Ⅱ,35미만,78,2.83
1,성공적인 직업생활,68,174,4.23
2,성공적인 직업생활,63,334,8.11
3,성공적인 직업생활,58,482,11.7
4,성공적인 직업생활,53,737,17.9
5,성공적인 직업생활,47,800,19.43
6,성공적인 직업생활,41,858,20.84
7,성공적인 직업생활,37,330,8.01
8,성공적인 직업생활,33,267,6.48
9,성공적인 직업생활,33미만,136,3.3
1,농업 기초 기술,70,10,4.78
2,농업 기초 기술,64,14,6.7
3,농업 기초 기술,56,29,13.88
4,농업 기초 기술,52,34,16.27
5,농업 기초 기술,46,48,22.97
6,농업 기초 기술,43,27,12.92
7,농업 기초 기술,37,31,14.83
8,농업 기초 기술,35,10,4.78
9,농업 기초 기술,35미만,6,2.87
1,공업 일반,67,60,4.11
2,공업 일반,64,113,7.73
3,공업 일반,61,166,11.36
4,공업 일반,53,253,17.32
5,공업 일반,45,319,21.83
6,공업 일반,40,255,17.45
7,공업 일반,38,173,11.84
8,공업 일반,36,74,5.07
9,공업 일반,36미만,48,3.29
1,상업 경제,70,71,4.81
2,상업 경제,65,102,6.91
3,상업 경제,57,181,12.26
4,상업 경제,51,247,16.73
5,상업 경제,46,315,21.34
6,상업 경제,42,247,16.73
7,상업 경제,39,157,10.64
8,상업 경제,35,117,7.93
9,상업 경제,35미만,39,2.64
1,수산·해운 산업 기초,74,1,4.35
2,수산·해운 산업 기초,64,2,8.7
3,수산·해운 산업 기초,56,3,13.04
4,수산·해운 산업 기초,51,4,17.39
5,수산·해운 산업 기초,48,6,26.09
6,수산·해운 산업 기초,43,3,13.04
7,수산·해운 산업 기초,42,2,8.7
8,수산·해운 산업 기초,42미만,2,8.7
9,수산·해운 산업 기초,,,
1,인간발달,68,51,4.72
2,인간발달,65,89,8.24
3,인간발달,60,110,10.19
4,인간발달,51,200,18.52
5,인간발달,46,215,19.91
6,인간발달,42,167,15.46
7,인간발달,38,142,13.15
8,인간발달,36,67,6.2
9,인간발달,36미만,39,3.61
