등급,과목,구분 점수,인원(명),비율(퍼센트)
9,정치와 법,33미만,610,2.35
1,사회·문화,64,5628,4.41
2,사회·문화,62,10181,7.99
3,사회·문화,59,14682,11.52
4,사회·문화,55,21578,16.93
5,사회·문화,48,25838,20.27
6,사회·문화,40,21904,17.18
7,사회·문화,36,14936,11.72
8,사회·문화,33,8628,6.77
9,사회·문화,33미만,4107,3.22
1,물리학 Ⅰ,66,2782,4.45
2,물리학 Ⅰ,63,4396,7.03
3,물리학 Ⅰ,59,9502,15.2
4,물리학 Ⅰ,54,8864,14.18
5,물리학 Ⅰ,46,12899,20.64
6,물리학 Ⅰ,41,10719,17.15
7,물리학 Ⅰ,37,7230,11.57
8,물리학 Ⅰ,34,3863,6.18
9,물리학 Ⅰ,34미만,2254,3.61
1,화학 Ⅰ,63,5641,7.67
2,화학 Ⅰ,61,4339,5.9
3,화학 Ⅰ,59,9325,12.67
4,화학 Ⅰ,55,10782,14.65
5,화학 Ⅰ,49,15267,20.75
6,화학 Ⅰ,41,11744,15.96
7,화학 Ⅰ,36,8707,11.83
8,화학 Ⅰ,31,5577,7.58
9,화학 Ⅰ,31미만,2200,2.99
1,생명과학 Ⅰ,65,8057,5.98
2,생명과학 Ⅰ,62,11348,8.42
3,생명과학 Ⅰ,59,14167,10.52
4,생명과학 Ⅰ,54,23370,17.35
5,생명과학 Ⅰ,47,26709,19.82
6,생명과학 Ⅰ,40,22630,16.8
7,생명과학 Ⅰ,37,14572,10.82
8,생명과학 Ⅰ,33,9864,7.32
9,생명과학 Ⅰ,33미만,4009,2.98
1,지구과학 Ⅰ,68,6058,4.44
2,지구과학 Ⅰ,63,10962,8.03
3,지구과학 Ⅰ,59,15508,11.36
4,지구과학 Ⅰ,53,24432,17.89
5,지구과학 Ⅰ,46,28425,20.82
6,지구과학 Ⅰ,41,22160,16.23
7,지구과학 Ⅰ,38,15969,11.7
8,지구과학 Ⅰ,35,8664,6.35
9,지구과학 Ⅰ,35미만,4363,3.2
1,물리학 Ⅱ,66,154,5.12
2,물리학 Ⅱ,63,284,9.45
3,물리학 Ⅱ,60,299,9.95
4,물리학 Ⅱ,54,511,17
5,물리학 Ⅱ,45,567,18.86
6,물리학 Ⅱ,41,521,17.33
7,물리학 Ⅱ,38,412,13.71
8,물리학 Ⅱ,35,197,6.55
9,물리학 Ⅱ,35미만,61,2.03
1,화학 Ⅱ,67,188,5.67
2,화학 Ⅱ,64,210,6.33
3,화학 Ⅱ,59,436,13.14
4,화학 Ⅱ,53,519,15.65
5,화학 Ⅱ,46,657,19.81
6,화학 Ⅱ,41,569,17.15
7,화학 Ⅱ,38,447,13.48
8,화학 Ⅱ,35,178,5.37
9,화학 Ⅱ,35미만,113,3.41
1,생명과학 Ⅱ,65,309,4.74
2,생명과학 Ⅱ,63,587,9.01
3,생명과학 Ⅱ,60,637,9.78
4,생명과학 Ⅱ,55,1112,17.07
5,생명과학 Ⅱ,46,1347,20.68
6,생명과학 Ⅱ,40,1142,17.53
7,생명과학 Ⅱ,37,700,10.74
8,생명과학 Ⅱ,35,466,7.15
9,생명과학 Ⅱ,35미만,215,3.3
1,지구과학 Ⅱ,67,173,4.85
2,지구과학 Ⅱ,63,220,6.16
3,지구과학 Ⅱ,59,468,13.11
4,지구과학 Ⅱ,53,636,17.82
5,지구과학 Ⅱ,46,690,19.33
6,지구과학 Ⅱ,40,702,19.66
7,지구과학 Ⅱ,37,338,9.47
8,지구과학 Ⅱ,35,211,5.91
9,지구과학 Ⅱ,35미만,132,3.7
1,성공적인 직업생활,68,232,5.2
2,성공적인 직업생활,63,309,6.93
3,성공적인 직업생활,59,513,11.5
4,성공적인 직업생활,52,838,18.79
5,성공적인 직업생활,47,874,19.6
6,성공적인 직업생활,42,703,15.76
7,성공적인 직업생활,38,530,11.88
8,성공적인 직업생활,33,306,6.86
9,성공적인 직업생활,33미만,155,3.48
1,농업 기초 기술,67,15,6.33
2,농업 기초 기술,64,17,7.17
3,농업 기초 기술,58,27,11.39
4,농업 기초 기술,54,36,15.19
5,농업 기초 기술,47,50,21.1
6,농업 기초 기술,43,39,16.46
7,농업 기초 기술,39,29,12.24
8,농업 기초 기술,34,17,7.17
9,농업 기초 기술,34미만,7,2.95
1,공업 일반,66,114,7.47
2,공업 일반,64,148,9.69
3,공업 일반,61,123,8.06
4,공업 일반,52,237,15.52
5,공업 일반,45,305,19.97
6,공업 일반,41,274,17.94
7,공업 일반,38,179,11.72
8,공업 일반,35,116,7.6
9,공업 일반,35미만,31,2.03
1,상업 경제,70,91,5.04
2,상업 경제,65,116,6.42
3,상업 경제,58,218,12.07
4,상업 경제,50,327,18.11
5,상업 경제,46,336,18.6
6,상업 경제,42,346,19.16
7,상업 경제,40,178,9.86
8,상업 경제,37,126,6.98
9,상업 경제,37미만,68,3.77
1,수산·해운 산업 기초,66,2,6.45
2,수산·해운 산업 기초,65,2,6.45
3,수산·해운 산업 기초,58,5,16.13
4,수산·해운 산업 기초,54,4,12.9
5,수산·해운 산업 기초,46,6,19.35
6,수산·해운 산업 기초,43,5,16.13
7,수산·해운 산업 기초,37,4,12.9
8,수산·해운 산업 기초,37미만,3,9.68
9,수산·해운 산업 기초,,,
1,인간발달,70,62,5.92
2,인간발달,66,67,6.39
3,인간발달,60,115,10.97
4,인간발달,49,178,16.98
5,인간발달,45,264,25.19
6,인간발달,42,140,13.36
7,인간발달,40,126,12.02
8,인간발달,38,56,5.34
9,인간발달,38미만,40,3.82
