"학교명",학교 영문명,본분교구분명,대학구분명,학교구분명,설립형태구분명,시도코드,시도명,소재지도로명주소,소재지지번주소,도로명우편번호,소재지우편번호,홈페이지주소,대표전화번호,대표팩스번호,설립일자,기준연도,데이터기준일자
"경인교육대학교",Gyeongin National University Of Education,제2캠퍼스,대학,교육대학,국립,41,경기도,"경기도 안양시 만안구 삼막로 155 (석수동, 경인교육대학교)",,13910,,www.ginue.ac.kr,031-470-6114,031-470-6139,2005-03-01,2022,2022-12-21
"경일대학교",Kyungil University,본교,대학,대학교,사립,47,경상북도,"경상북도 경산시 하양읍 가마실길 50 (부호리, 경일대학교)",,38428,,www.kiu.ac.kr,053-600-4000,053-600-4020,1996-12-11,2022,2022-12-21
"경주대학교",Gyeongju University,본교,대학,대학교,사립,47,경상북도,"경상북도 경주시 태종로 188 (효현동, 경주대학교)",,38065,,www.gju.ac.kr,054-770-5114,054-748-2784,1987-12-12,2022,2022-12-21
"경희대학교",Kyung Hee University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 동대문구 경희대로 26 (회기동, 경희대학교)",,02447,,www.khu.ac.kr,02-961-0114,02-961-0930,1951-05-18,2022,2022-12-21
"경희사이버대학교",Kyung Hee Cyber University,본교,대학,사이버대학(대학),사립,11,서울특별시,"서울특별시 동대문구 경희대로 26 (회기동, 경희사이버대학교)",,02447,,www.khcu.ac.kr,02-3299-8700,02-3299-8729,2001-03-03,2022,2022-12-21
"계명대학교",Keimyung University,본교,대학,대학교,사립,27,대구광역시,"대구광역시 달서구 달구벌대로 1095 (신당동, 계명대학교성서캠퍼스)",,42601,,www.kmu.ac.kr,053-580-5114,053-580-5454,1954-05-20,2022,2022-12-21
"고려대학교",Korea University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계))",,02841,,www.korea.ac.kr,02-3290-1114,02-928-9102,1905-05-05,2022,2022-12-21
"고려대학교(세종)",Korea University Sejong Campus,분교,대학,대학교,사립,36,세종특별자치시,"세종특별자치시 조치원읍 세종로 2511 (서창리, 고려대학교세종캠퍼스)",,30019,,sejong.korea.ac.kr,044-860-1114,044-860-1048,1980-03-02,2022,2022-12-21
"고려사이버대학교",The Cyber University Of Korea,본교,대학,사이버대학(대학),사립,11,서울특별시,"서울특별시 종로구 북촌로 106 (계동, 고려사이버대학교)",,03051,,www.cuk.edu,02-6361-2000,02-6361-1800,2001-02-20,2022,2022-12-21
"고신대학교",Kosin University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 영도구 와치로 194 (동삼동, 고신대학교)",,49104,,www.kosin.ac.kr,051-990-2114,051-911-2525,1946-09-20,2022,2022-12-21
"공주교육대학교",Gongju National University Of Education,본교,대학,교육대학,국립,44,충청남도,"충청남도 공주시 웅진로 27 (봉황동, 공주교육대학교)",,32553,,www.gjue.ac.kr,041-850-1377,041-850-1374,1938-04-01,2022,2022-12-21
"공주대학교",Kongju National University,본교,대학,대학교,국립,44,충청남도,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",,32588,,www.kongju.ac.kr,041-850-8114,041-850-8019,1948-07-31,2022,2022-12-21
"광신대학교",Kwangshin University,본교,대학,대학교,사립,29,광주광역시,"광주광역시 북구 양산택지소로 36 (본촌동, 광신대학교)",,61027,,www.kwangshin.ac.kr,062-605-1004,062-571-7255,1996-12-11,2022,2022-12-21
"광운대학교",Kwangwoon University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 노원구 광운로 20 (월계동, 광운대학교)",,01897,,www.kw.ac.kr,02-940-5026,02-917-0896,1934-05-20,2022,2022-12-21
"광주가톨릭대학교",Gwangju Catholic University,본교,대학,대학교,사립,46,전라남도,"전라남도 나주시 남평읍 중남길 12-25 (남석리, 광주가톨릭대학교)",,58230,,www.gjcatholic.ac.kr,061-337-2181,061-337-2185,1965-01-13,2022,2022-12-21
"광주과학기술원",Gwangju Institute Of Science And Technology,본교,대학,대학교,특별법법인,29,광주광역시,"광주광역시 북구 첨단과기로 123 (오룡동, 광주과학기술원)",,61005,,www.gist.ac.kr,062-715-2114,062-715-2300,1993-11-17,2022,2022-12-21
"광주교육대학교",Gwangju National University Of Education,본교,대학,교육대학,국립,29,광주광역시,"광주광역시 북구 필문대로 55 (풍향동, 광주교육대학교)",,61204,,www.gnue.ac.kr,062-520-4114,062-524-6022,1963-03-01,2022,2022-12-21
"광주대학교",Gwangju University,본교,대학,대학교,사립,29,광주광역시,"광주광역시 남구 효덕로 277 (진월동, 광주대학교)",,61743,,www.gwangju.ac.kr,062-670-2114,062-674-0078,2004-03-01,2022,2022-12-21
"광주여자대학교",Kwangju Women’S University,본교,대학,대학교,사립,29,광주광역시,광주광역시 광산구 광주여대길 40 (산정동),,62396,,www.kwu.ac.kr,062-956-2500,062-953-2218,1997-03-03,2022,2022-12-21
"국민대학교",Kookmin University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교)",,02707,,www.kookmin.ac.kr,02-910-4114,02-910-4169,1946-09-01,2022,2022-12-21
"국제사이버대학교",Gukje Cyber University,본교,대학,사이버대학(대학),사립,41,경기도,경기도 수원시 팔달구 경수대로 490 (인계동),,16487,,www.gjcu.ac.kr,031-229-6212,031-267-0750,2003-03-01,2022,2022-12-21
"군산대학교",Kunsan National University,본교,대학,대학교,국립,45,전라북도,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",,54150,,www.kunsan.ac.kr,063-469-4113,063-469-4110,1979-01-18,2022,2022-12-21
"극동대학교",Far East University,본교,대학,대학교,사립,43,충청북도,"충청북도 음성군 감곡면 대학길 76-32 (왕장리, 극동대학교)",,27601,,www.kdu.ac.kr,043-879-3500,043-879-3519,1997-12-05,2022,2022-12-21
"글로벌사이버대학교",Global Cyber University,본교,대학,사이버대학(대학),사립,44,충청남도,"충청남도 천안시 동남구 목천읍 교천지산길 284-88 (지산리, 글로벌사이버대학교)",,31228,,www.global.ac.kr,1577-1786,041-415-6199,2010-03-01,2022,2022-12-21
"금강대학교",Geumgang University,본교,대학,대학교,사립,44,충청남도,"충청남도 논산시 상월면 상월로 522 (대명리, 금강대학교)",,32906,,www.ggu.ac.kr,041-731-3114,041-731-3048,2002-11-16,2022,2022-12-21
"금오공과대학교",Kumoh National Institute Of Technology,본교,대학,대학교,국립,47,경상북도,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",,39177,,www.kumoh.ac.kr,054-478-7114,054-478-7100,1980-03-01,2022,2022-12-21
"김천대학교",Gimcheon University,본교,대학,대학교,사립,47,경상북도,"경상북도 김천시 대학로 214 (삼락동, 김천대학교)",,39528,,www.gimcheon.ac.kr,054-420-4000,054-420-4003,2010-03-01,2022,2022-12-21
"나사렛대학교",Korea Nazarene University,본교,대학,대학교,사립,44,충청남도,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교)",,31172,,www.kornu.ac.kr,041-570-7871,041-570-7725,1954-09-14,2022,2022-12-21
"남부대학교",Nambu University,본교,대학,대학교,사립,29,광주광역시,광주광역시 광산구 남부대길 1,,62271,,www.nambu.ac.kr,062-970-0001,062-972-6200,1999-03-12,2022,2022-12-21
"남서울대학교",Namseoul University,본교,대학,대학교,사립,44,충청남도,"충청남도 천안시 서북구 성환읍 대학로 91 (매주리, 남서울대학교)",,31020,,www.nsu.ac.kr/,041-580-2000,041-582-2117,1994-04-14,2022,2022-12-21
"남서울대학교(산업대)",Namseoul University,본교,대학,산업대학,사립,44,충청남도,"충청남도 천안시 서북구 성환읍 대학로 91 (매주리, 남서울대학교)",,31020,,www.nsu.ac.kr,041-580-2513,041-584-2024,1994-04-14,2022,2022-12-21
"단국대학교",Dankook University,본교,대학,대학교,사립,41,경기도,"경기도 용인시 수지구 죽전로 152 (죽전동, 단국대학교)",,16890,,www.dankook.ac.kr,1899-3700,031-8021-7106,1947-11-03,2022,2022-12-21
"단국대학교",Dankook University,제2캠퍼스,대학,대학교,사립,44,충청남도,"충청남도 천안시 동남구 단대로 119 (안서동, 단국대학교천안캠퍼스)",,31116,,www.dankook.ac.kr,1899-3700,031-8021-7106,1978-03-13,2022,2022-12-21
"대구가톨릭대학교",Daegu Catholic University,본교,대학,대학교,사립,47,경상북도,"경상북도 경산시 하양읍 하양로 13-13 (금락리, 대구가톨릭대학교)",,38430,,www.cu.ac.kr,053-850-3114,053-359-7000,1914-10-01,2022,2022-12-21
"대구경북과학기술원",DGIST,본교,대학,대학교,특별법법인,27,대구광역시,대구광역시 달성군 현풍면 테크노중앙대로 333,,42988,,www.dgist.ac.kr,053-785-0114,053-785-1219,2011-03-02,2022,2022-12-21
"대구교육대학교",Daegu National University Of Education,본교,대학,교육대학,국립,27,대구광역시,"대구광역시 남구 중앙대로 219 (대명동, 대구교육대학교)",,42411,,www.dnue.ac.kr,053-620-1202,053-651-5369,1950-03-25,2022,2022-12-21
"대구대학교",Daegu University,본교,대학,대학교,사립,47,경상북도,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스)",,38453,,www.daegu.ac.kr,053-850-5000,053-850-5009,1956-05-01,2022,2022-12-21
"대구사이버대학교",Daegu Cyber University,본교,대학,사이버대학(대학),사립,47,경상북도,"경상북도 경산시 진량읍 대구대로 201 (내리리, 대구대학교경산캠퍼스)",,38453,,www.dcu.ac.kr,053-859-7500,053-859-7599,2001-11-10,2022,2022-12-21
"대구예술대학교",Daegu Arts University,본교,대학,대학교,사립,47,경상북도,"경상북도 칠곡군 가산면 다부거문1길 202 (다부리, 대구예술대학교)",,39851,,www.dgau.ac.kr,054-970-5311,054-973-5319,1996-12-11,2022,2022-12-21
"대구외국어대학교",Daegu University Of Foreign Studies,본교,대학,대학교,사립,47,경상북도,"경상북도 경산시 남천면 남천로 730 (협석리, 대구외국어대학교)",,38695,,www.dufs.ac.kr,053-810-7000,053-811-0836,2003-03-01,2022,2022-12-21
"대구한의대학교",Daegu Haany University,본교,대학,대학교,사립,47,경상북도,경상북도 경산시 한의대로 1(유곡동),,38609,,www.dhu.ac.kr,053-819-1000,053-819-1258,1980-12-29,2022,2022-12-21
"대신대학교",Daeshin University,본교,대학,대학교,사립,47,경상북도,"경상북도 경산시 경청로222길 33 (백천동, 대신대학교)",,38649,,www.daeshin.ac.kr,053-810-0701,053-813-0006,1996-12-11,2022,2022-12-21
"대전가톨릭대학교",Daejeoncatholicuniversity,본교,대학,대학교,사립,36,세종특별자치시,"세종특별자치시 전의면 가톨릭대학로 30 (신방리, 대전가톨릭대학교)",,30006,,dcatholic.ac.kr,044-861-7101,044-861-7106,1993-03-01,2022,2022-12-21
"대전대학교",Daejeon University,본교,대학,대학교,사립,30,대전광역시,"대전광역시 동구 대학로 62 (용운동, 대전대학교)",,34520,,www.dju.ac.kr,042-280-2114,042-283-8808,1980-12-29,2022,2022-12-21
"대전신학대학교",Daejeon Theological University,본교,대학,대학교,사립,30,대전광역시,"대전광역시 대덕구 한남로 41 (오정동, 대전신학대학교)",,34432,,www.daejeon.ac.kr,042-606-0114,042-621-0821,2009-03-01,2022,2022-12-21
"대진대학교",Daejin University,본교,대학,대학교,사립,41,경기도,"경기도 포천시 호국로 1007 (선단동, 대진대학교)",,11159,,www.daejin.ac.kr,031-539-1114,031-539-1115,1991-11-15,2022,2022-12-21
"덕성여자대학교",Duksung Women’S University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교)",,01369,,www.duksung.ac.kr,02-901-8000,02-908-2251,1950-05-17,2022,2022-12-21
"동국대학교",Dongguk University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교)",,04620,,www.dongguk.edu,02-2260-3114,02-2277-1274,1946-09-20,2022,2022-12-21
"동국대학교(WISE)",Dongguk University,분교,대학,대학교,사립,47,경상북도,"경상북도 경주시 동대로 123 (석장동, 동국대학교경주캠퍼스)",,38066,,web.dongguk.ac.kr,054-770-2844,054-770-2846,1978-10-12,2022,2022-12-21
"동덕여자대학교",Dongduk Women’s University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교)",,02748,,www.dongduk.ac.kr,02-940-4000,02-940-4182,1950-05-27,2022,2022-12-21
"동명대학교",Tongmyong University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 남구 신선로 428 (용당동, 동명대학교)",,48520,,www.tu.ac.kr,051-629-1000,051-629-0619,2006-03-01,2022,2022-12-21
"동서대학교",Dongseo University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 사상구 주례로 47 (주례동, 동서대학교)",,47011,,www.dongseo.ac.kr,051-313-2001,051-313-1046,1992-03-02,2022,2022-12-21
"동신대학교",Dongshinuniversity,본교,대학,대학교,사립,46,전라남도,전라남도 나주시 동신대길 67 (대호동),,58245,,www.dsu.ac.kr,061-330-3114,061-330-2909,1986-12-31,2022,2022-12-21
"동아대학교",Dong-A University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 사하구 낙동대로550번길 37 (하단동, 동아대학교)",,49315,,www.donga.ac.kr,051-200-6114,051-205-5788,1946-11-01,2022,2022-12-21
"동양대학교",Dongyang University,본교,대학,대학교,사립,47,경상북도,"경상북도 영주시 풍기읍 동양대로 145 (산법리, 동양대학교)",,36040,,www.dyu.ac.kr,054-630-1114,054-636-8523,1994-03-01,2022,2022-12-21
"동의대학교",Dong-Eui University,본교,대학,대학교,사립,26,부산광역시,"부산광역시 부산진구 엄광로 176 (가야동, 동의대학교)",,47340,,www.deu.ac.kr,051-890-1114,051-890-1234,1979-01-10,2022,2022-12-21
"디지털서울문화예술대학교",Digital Seoul Culture Arts University,본교,대학,사이버대학(대학),사립,11,서울특별시,"서울특별시 서대문구 통일로37길 60 (홍제동, 디지털서울문화예술대학교)",,03645,,www.scau.ac.kr,02-2287-0353,02-6902-0659,2010-03-01,2022,2022-12-21
"루터대학교",Luther University,본교,대학,대학교,사립,41,경기도,"경기도 용인시 기흥구 금화로82번길 20 (상갈동, 루터대학교)",,17072,,www.ltu.ac.kr,031-679-2300,031-283-1505,1997-12-05,2022,2022-12-21
"명지대학교",Myongji University Natural Science Campus,본교,대학,대학교,사립,41,경기도,"경기도 용인시 처인구 명지로 116 (남동, 명지대학교용인캠퍼스)",,17058,,www.mju.ac.kr,1577-0020,031-332-2459,1948-09-07,2022,2022-12-21
"명지대학교",Myongji University Social Science Campus,제2캠퍼스,대학,대학교,사립,11,서울특별시,"서울특별시 서대문구 거북골로 34 (남가좌동, 명지대학교)",,03674,,www.mju.ac.kr,1577-0020,02-300-1556,1948-09-07,2022,2022-12-21
"목원대학교",Mokwon University,본교,대학,대학교,사립,30,대전광역시,"대전광역시 서구 도안북로 88 (도안동, 목원대학교)",,35349,,www.mokwon.ac.kr,042-829-7114,042-825-5020,1965-01-13,2022,2022-12-21
"목포가톨릭대학교",Mokpo Catholic University,본교,대학,대학교,사립,46,전라남도,"전라남도 목포시 영산로 697 (석현동, 목포가톨릭대학교)",,58607,,www.mcu.ac.kr,061-280-5102,061-280-5109,1999-12-17,2022,2022-12-21
"목포대학교",Mokpo National University,본교,대학,대학교,국립,46,전라남도,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",,58554,,www.mokpo.ac.kr,061-450-2114,061-452-4793,1946-10-31,2022,2022-12-21
"목포해양대학교",Mokpo National Maritime University,본교,대학,대학교,국립,46,전라남도,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",,58628,,www.mmu.ac.kr,061-240-7114,061-242-5176,1993-03-01,2022,2022-12-21
"배재대학교",Pai Chai University,본교,대학,대학교,사립,30,대전광역시,"대전광역시 서구 배재로 155-40 (도마동, 배재대학교)",,35345,,www.pcu.ac.kr,042-520-5114,042-533-7354,1980-12-29,2022,2022-12-21
"백석대학교",Baekseok University,본교,대학,대학교,사립,44,충청남도,충청남도 천안시 동남구 백석대학로 1 (안서동),,31065,,www.bu.ac.kr,041-550-9114,041-550-9113,1994-03-01,2022,2022-12-21
"부경대학교",Pukyong National University,본교,대학,대학교,국립,26,부산광역시,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",,48513,,www.pknu.ac.kr,051-629-4114,051-629-5089,1996-07-06,2022,2022-12-21
"부산가톨릭대학교",Catholic University Of Pusan,본교,대학,대학교,사립,26,부산광역시,"부산광역시 금정구 오륜대로 57 (부곡동, 부산가톨릭대학교)",,46252,,www.cup.ac.kr,051-515-5811,051-514-1576,1990-12-24,2022,2022-12-21
"부산교육대학교",Busan National University Of Education,본교,대학,교육대학,국립,26,부산광역시,"부산광역시 연제구 교대로 24 (거제동, 부산교육대학교)",,47503,,www.bnue.ac.kr,051-500-7141,051-505-4908,1946-09-02,2022,2022-12-21
"부산대학교",Pusan National University,본교,대학,대학교,국립,26,부산광역시,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",,46241,,www.pusan.ac.kr,051-512-0311,051-512-3368,1946-05-15,2022,2022-12-21
"부산디지털대학교",Busandigital University,본교,대학,사이버대학(대학),사립,26,부산광역시,"부산광역시 사상구 주례로 57 (주례동, 부산디지털대학교)",,47011,,www.bdu.ac.kr,051-320-2785,051-320-2787,2001-11-01,2022,2022-12-21
"부산외국어대학교",Busan University Of Foreign Studies,본교,대학,대학교,사립,26,부산광역시,"부산광역시 금정구 금샘로485번길 65 (남산동, 부산외국어대학교)",,46234,,www.bufs.ac.kr,051-509-5000,051-509-5005,1982-03-12,2022,2022-12-21
"부산장신대학교",Busan Presbyterian University,본교,대학,대학교,사립,48,경상남도,경상남도 김해시 김해대로 1894-68 (구산동),,50883,,www.bpu.ac.kr,055-320-2500,055-339-1161,2000-11-29,2022,2022-12-21
"사이버한국외국어대학교",Cyber Hankuk University Of Foreign Studies,본교,대학,사이버대학(대학),사립,11,서울특별시,"서울특별시 동대문구 이문로 107 (이문동, 한국외국어대학교)",,02450,,www.cufs.ac.kr,02-2173-2580,02-966-6183,2004-03-01,2022,2022-12-21
"삼육대학교",Sahmyook University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교)",,01795,,www.syu.ac.kr,02-3399-3636,02-979-5318,1962-02-27,2022,2022-12-21
"상명대학교",Sangmyung University (Seoul),본교,대학,대학교,사립,11,서울특별시,"서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교)",,03016,,www.smu.ac.kr,02-2287-5114,02-2287-0015,1965-01-13,2022,2022-12-21
"상명대학교",Sangmyung University,제2캠퍼스,대학,대학교,사립,44,충청남도,"충청남도 천안시 동남구 상명대길 31 (안서동, 상명대학교천안캠퍼스)",,31066,,www.smuc.ac.kr,041-550-5114,041-550-5032,1984-10-06,2022,2022-12-21
"상지대학교",Sangji University,본교,대학,대학교,사립,42,강원도,"강원도 원주시 상지대길 83 (우산동, 상지대학교)",,26339,,www.sangji.ac.kr,033-730-0114,033-745-2433,1955-06-10,2022,2022-12-21
"서강대학교",Sogang University,본교,대학,대학교,사립,11,서울특별시,"서울특별시 마포구 백범로 35 (신수동, 서강대학교)",,04107,,www.sogang.ac.kr,02-705-8114,02-705-8112,1960-04-18,2022,2022-12-21
