등급,과목,구분 점수,인원(명),비율(%)
8,지구 과학 Ⅱ,35,650,8.04
9,지구 과학 Ⅱ,35미만,233,2.88
1,농업 이해,68,15,4.04
2,농업 이해,63,31,8.36
3,농업 이해,59,41,11.05
4,농업 이해,52,85,22.91
5,농업 이해,47,62,16.71
6,농업 이해,43,59,15.9
7,농업 이해,37,39,10.51
8,농업 이해,32,28,7.55
9,농업 이해,32미만,11,2.96
1,농업 기초 기술,67,16,4.95
2,농업 기초 기술,64,22,6.81
3,농업 기초 기술,58,40,12.38
4,농업 기초 기술,52,70,21.67
5,농업 기초 기술,48,48,14.86
6,농업 기초 기술,42,63,19.5
7,농업 기초 기술,38,31,9.6
8,농업 기초 기술,34,22,6.81
9,농업 기초 기술,34미만,11,3.41
1,공업 일반,67,134,7.23
2,공업 일반,65,138,7.45
3,공업 일반,61,159,8.58
4,공업 일반,51,311,16.78
5,공업 일반,45,410,22.13
6,공업 일반,42,280,15.11
7,공업 일반,39,224,12.09
8,공업 일반,37,129,6.96
9,공업 일반,37미만,68,3.67
1,기초 제도,69,83,4.93
2,기초 제도,66,103,6.12
3,기초 제도,59,214,12.72
4,기초 제도,51,273,16.23
5,기초 제도,45,357,21.22
6,기초 제도,41,368,21.88
7,기초 제도,39,142,8.44
8,기초 제도,37,102,6.06
9,기초 제도,37미만,40,2.38
1,상업 경제,71,98,4.78
2,상업 경제,65,140,6.83
3,상업 경제,58,276,13.46
4,상업 경제,51,336,16.38
5,상업 경제,45,493,24.04
6,상업 경제,42,251,12.24
7,상업 경제,39,271,13.21
8,상업 경제,36,127,6.19
9,상업 경제,36미만,59,2.88
1,회계 원리,71,80,4.08
2,회계 원리,65,144,7.34
3,회계 원리,58,235,11.98
4,회계 원리,51,330,16.83
5,회계 원리,46,457,23.3
6,회계 원리,42,314,16.01
7,회계 원리,39,196,9.99
8,회계 원리,36,145,7.39
9,회계 원리,36미만,60,3.06
1,해양의 이해,72,2,4.08
2,해양의 이해,64,4,8.16
3,해양의 이해,57,6,12.24
4,해양의 이해,53,8,16.33
5,해양의 이해,47,10,20.41
6,해양의 이해,43,9,18.37
7,해양의 이해,39,6,12.24
8,해양의 이해,33,3,6.12
9,해양의 이해,33미만,1,2.04
1,수산·해운 산업 기초,63,6,13.04
2,수산·해운 산업 기초,ㅡ,ㅡ,ㅡ
3,수산·해운 산업 기초,59,6,13.04
4,수산·해운 산업 기초,53,8,17.39
5,수산·해운 산업 기초,51,9,19.57
6,수산·해운 산업 기초,40,7,15.22
7,수산·해운 산업 기초,35,6,13.04
8,수산·해운 산업 기초,32,4,8.7
9,수산·해운 산업 기초,ㅡ,ㅡ,ㅡ
1,인간 발달,67,77,7.75
2,인간 발달,65,67,6.74
3,인간 발달,60,100,10.06
4,인간 발달,51,161,16.2
5,인간 발달,46,203,20.42
6,인간 발달,42,165,16.6
7,인간 발달,39,119,11.97
8,인간 발달,35,73,7.34
9,인간 발달,35미만,29,2.92
1,생활 서비스 산업의 이해,69,54,4.88
2,생활 서비스 산업의 이해,64,68,6.14
3,생활 서비스 산업의 이해,58,153,13.82
4,생활 서비스 산업의 이해,51,191,17.25
5,생활 서비스 산업의 이해,46,230,20.78
6,생활 서비스 산업의 이해,43,166,15
7,생활 서비스 산업의 이해,38,148,13.37
8,생활 서비스 산업의 이해,34,57,5.15
9,생활 서비스 산업의 이해,34미만,40,3.61
1,독일어 Ⅰ,64,57,4.79
2,독일어 Ⅰ,62,103,8.65
3,독일어 Ⅰ,60,146,12.26
4,독일어 Ⅰ,56,212,17.8
5,독일어 Ⅰ,44,214,17.97
6,독일어 Ⅰ,39,227,19.06
7,독일어 Ⅰ,37,137,11.5
8,독일어 Ⅰ,36,57,4.79
9,독일어 Ⅰ,36미만,38,3.19
1,프랑스어 Ⅰ,64,118,9.46
2,프랑스어 Ⅰ,63,43,3.45
3,프랑스어 Ⅰ,60,154,12.34
4,프랑스어 Ⅰ,54,219,17.55
5,프랑스어 Ⅰ,45,254,20.35
6,프랑스어 Ⅰ,40,185,14.82
7,프랑스어 Ⅰ,38,154,12.34
8,프랑스어 Ⅰ,35,108,8.65
9,프랑스어 Ⅰ,35미만,13,1.04
1,스페인어 Ⅰ,65,108,8.28
2,스페인어 Ⅰ,64,48,3.68
3,스페인어 Ⅰ,60,177,13.57
4,스페인어 Ⅰ,54,209,16.03
5,스페인어 Ⅰ,45,243,18.63
6,스페인어 Ⅰ,41,236,18.1
7,스페인어 Ⅰ,38,184,14.11
8,스페인어 Ⅰ,36,61,4.68
9,스페인어 Ⅰ,36미만,38,2.91
1,중국어 Ⅰ,66,191,4.92
2,중국어 Ⅰ,63,326,8.4
3,중국어 Ⅰ,59,463,11.93
4,중국어 Ⅰ,54,719,18.53
5,중국어 Ⅰ,46,645,16.62
6,중국어 Ⅰ,40,743,19.14
7,중국어 Ⅰ,37,448,11.54
8,중국어 Ⅰ,35,240,6.18
9,중국어 Ⅰ,35미만,106,2.73
1,일본어 Ⅰ,67,259,4.19
2,일본어 Ⅰ,63,492,7.95
3,일본어 Ⅰ,59,818,13.22
4,일본어 Ⅰ,54,929,15.01
5,일본어 Ⅰ,46,"1,322",21.36
6,일본어 Ⅰ,41,967,15.63
7,일본어 Ⅰ,37,762,12.31
8,일본어 Ⅰ,35,432,6.98
9,일본어 Ⅰ,35미만,207,3.35
1,러시아어 Ⅰ,69,30,4.49
2,러시아어 Ⅰ,67,44,6.59
3,러시아어 Ⅰ,61,84,12.57
4,러시아어 Ⅰ,47,128,19.16
5,러시아어 Ⅰ,44,145,21.71
6,러시아어 Ⅰ,42,123,18.41
7,러시아어 Ⅰ,41,68,10.18
8,러시아어 Ⅰ,39,29,4.34
9,러시아어 Ⅰ,39미만,17,2.54
1,아랍어 Ⅰ,80,"2,050",4.33
2,아랍어 Ⅰ,58,"3,265",6.9
3,아랍어 Ⅰ,52,"5,831",12.33
4,아랍어 Ⅰ,49,"10,547",22.3
5,아랍어 Ⅰ,46,"7,883",16.67
6,아랍어 Ⅰ,44,"9,009",19.05
7,아랍어 Ⅰ,42,"5,217",11.03
8,아랍어 Ⅰ,40,"2,424",5.12
9,아랍어 Ⅰ,40미만,"1,072",2.27
1,베트남어 Ⅰ,77,99,4.73
2,베트남어 Ⅰ,65,133,6.36
3,베트남어 Ⅰ,52,310,14.83
4,베트남어 Ⅰ,48,346,16.55
5,베트남어 Ⅰ,46,460,22
6,베트남어 Ⅰ,44,273,13.06
7,베트남어 Ⅰ,42,253,12.1
8,베트남어 Ⅰ,40,134,6.41
9,베트남어 Ⅰ,40미만,83,3.97
1,한문 Ⅰ,68,147,4.94
2,한문 Ⅰ,65,221,7.43
3,한문 Ⅰ,59,343,11.54
4,한문 Ⅰ,51,542,18.23
5,한문 Ⅰ,45,737,24.79
6,한문 Ⅰ,42,323,10.86
7,한문 Ⅰ,38,393,13.22
8,한문 Ⅰ,34,223,7.5
9,한문 Ⅰ,34미만,44,1.48
